id;endo;bloc;treatment;mod;experiment;year;size.long;size.larg;nb.Vtiller;p;nb.Rtiller;pmg;TA;TJA;TS;f1;e0;s1;s2;e1
1;S;2;control;S-control;naturalpop;1;22;19;216;1;30;0,11;;;;52;;;;
2;S;2;control;S-control;naturalpop;1;18;12;123;1;3;0,02;;;;12;;;;
3;NS;2;control;NS-control;naturalpop;1;49;23;542;1;14;0,03;;;;10;;;;
4;S;2;fertilized;S-fertilized;naturalpop;1;41;32;626;1;253;1,02;;;;150;;;;
5;S;2;control;S-control;naturalpop;1;18;13;131;1;14;0,1;;;;60;;;;
6;S;2;fertilized;S-fertilized;naturalpop;1;18;14;139;1;18;0,04;;;;40;;;;
7;S;2;control;S-control;naturalpop;1;19;12;128;1;30;0,24;;;;150;;;;
8;S;2;fertilized;S-fertilized;naturalpop;1;37;28;499;1;27;0,27;;;;36;;;;
9;S;2;control;S-control;naturalpop;1;25;18;230;1;97;1,22;;;;123,8052151;;;;
10;NS;2;control;NS-control;naturalpop;1;18;18;172;1;302;3,27;;;;47,02965752;;;;
11;S;2;fertilized;S-fertilized;naturalpop;1;10;4;42;1;10;0,16;;;;15;;;;
12;NS;2;fertilized;NS-fertilized;naturalpop;1;22;17;195;1;66;1,6;;;;150;;;;
13;NS;2;control;NS-control;naturalpop;1;57;32;861;1;540;;;;;;;;;
14;NS;2;control;NS-control;naturalpop;1;;;;0;;;;;;;;;;
15;NS;2;fertilized;NS-fertilized;naturalpop;1;38;17;320;1;30;0,04;;;;49;;;;
16;NS;2;control;NS-control;naturalpop;1;;;;0;;;;;;
17;S;2;control;S-control;naturalpop;1;15;11;99;1;41;0,11;;;;57
18;S;2;control;S-control;naturalpop;1;14;11;94;1;22;0,02;;;;20
19;S;2;fertilized;S-fertilized;naturalpop;1;10;7;56;0;0;0;;;;0
20;NS;2;control;NS-control;naturalpop;1;;;;0;;;;;;
21;NS;2;fertilized;NS-fertilized;naturalpop;1;28;16;229;1;128;4,03;;;;37,32331498
22;S;2;control;S-control;naturalpop;1;23;14;171;1;132;0,88;;;;150
23;S;2;control;S-control;naturalpop;1;12;11;84;1;126;0,23;;;;48
24;S;2;fertilized;S-fertilized;naturalpop;1;21;19;207;1;238;1,03;;;;150
25;S;2;fertilized;S-fertilized;naturalpop;1;25;18;230;1;217;1,57;;;;96,37256152
26;NS;2;control;NS-control;naturalpop;1;26;21;274;1;99;0,31;;;;34
27;NS;2;control;NS-control;naturalpop;1;28;17;241;1;44;1,47;;;;102,44102
28;NS;2;fertilized;NS-fertilized;naturalpop;1;39;33;614;1;399;4,97;;;;30,28663381
29;NS;2;fertilized;NS-fertilized;naturalpop;1;27;15;209;1;130;1,72;;;;150
30;NS;2;control;NS-control;naturalpop;1;33;27;432;1;258;3,16;;;;50,18813039
31;S;2;fertilized;S-fertilized;naturalpop;1;22;15;175;1;79;0,9;;;;150
32;S;2;control;S-control;naturalpop;1;;;;0;;;;;;
33;S;2;fertilized;S-fertilized;naturalpop;1;23;16;192;1;81;1,48;;;;101,2965964
34;NS;2;fertilized;NS-fertilized;naturalpop;1;31;25;379;1;323;4,42;;;;33,96899049
35;NS;2;fertilized;NS-fertilized;naturalpop;1;25;21;264;1;235;1,71;;;;87,84297666
36;NS;2;control;NS-control;naturalpop;1;32;21;332;1;244;7,63;;;;0
37;S;2;control;S-control;naturalpop;1;121;33;1857;1;442;11,23;;;;13,40694849
38;NS;2;control;NS-control;naturalpop;1;31;15;237;1;78;1,72;;;;87,2366359
39;S;2;fertilized;S-fertilized;naturalpop;1;43;18;379;1;219;1,71;;;;83,72601621
40;S;2;control;S-control;naturalpop;1;26;19;250;1;114;3,36;;;;44,63260022
41;NS;2;control;NS-control;naturalpop;1;59;28;782;1;320;7,08;;;;21,11145629
42;NS;2;control;NS-control;naturalpop;1;26;19;250;1;41;0,15;;;;100
43;NS;2;control;NS-control;naturalpop;1;21;18;197;1;112;0,67;;;;102
44;NS;2;fertilized;NS-fertilized;naturalpop;1;13;10;83;1;67;0,12;;;;100
45;S;2;control;S-control;naturalpop;1;25;23;287;1;35;0,24;;;;19
46;S;2;fertilized;S-fertilized;naturalpop;1;17;12;117;1;29;0,1;;;;8
47;S;2;fertilized;S-fertilized;naturalpop;1;37;25;448;1;184;2,1;;;;72,14646705
48;S;2;control;S-control;naturalpop;1;48;27;618;1;189;2,82;;;;53,62873233
49;NS;2;control;NS-control;naturalpop;1;23;21;245;1;127;0,49;;;;50
50;NS;2;control;NS-control;naturalpop;1;31;13;298;1;79;0,29;;;;100
51;S;2;fertilized;S-fertilized;naturalpop;1;28;21;293;1;93;1,53;;;;98,10975211
52;NS;2;control;NS-control;naturalpop;1;16;16;141;1;140;0,45;;;;150
53;NS;2;control;NS-control;naturalpop;1;24;15;188;1;99;2,45;;;;61,36642157
54;NS;2;fertilized;NS-fertilized;naturalpop;1;33;21;341;1;87;1,24;;;;150
55;NS;2;control;NS-control;naturalpop;1;27;21;283;1;195;2,87;;;;52,20907984
56;S;2;control;S-control;naturalpop;1;37;11;210;1;64;1,41;;;;106,7024605
57;S;2;control;S-control;naturalpop;1;33;23;372;1;116;2,68;;;;55,9606352
58;NS;2;control;NS-control;naturalpop;1;23;13;160;1;71;0,67;;;;150
59;S;2;control;S-control;naturalpop;1;13;11;89;0;0;0;;;;0
60;S;2;control;S-control;naturalpop;1;29;19;276;1;5;0;;;;
61;NS;2;fertilized;NS-fertilized;naturalpop;1;17;17;156;1;35;0,03;;;;12
62;S;2;control;S-control;naturalpop;1;19;23;224;1;61;0,34;;;;70
63;NS;2;fertilized;NS-fertilized;naturalpop;1;18;13;130;1;17;0,04;;;;11
64;NS;2;control;NS-control;naturalpop;1;9;8;56;1;15;0,26;;;;150
65;NS;2;control;NS-control;naturalpop;1;47;33;735;1;40;0,8;;;;150
66;S;2;control;S-control;naturalpop;1;31;25;379;1;208;4,73;;;;32,90140667
67;NS;2;control;NS-control;naturalpop;1;20;17;179;1;47;0,34;;;;113
68;NS;2;control;NS-control;naturalpop;1;13;7;65;1;51;;;;;
69;NS;2;fertilized;NS-fertilized;naturalpop;1;25;13;172;1;136;0,84;;;;147,6170569
70;S;2;control;S-control;naturalpop;1;17;17;156;1;62;0,45;;;;133
71;NS;2;control;NS-control;naturalpop;1;11;13;89;1;40;0,54;;;;117
72;S;2;fertilized;S-fertilized;naturalpop;1;12;7;62;0;0;0;;;;0
73;S;2;control;S-control;naturalpop;1;23;15;181;1;17;0,16;;;;21
74;S;2;control;S-control;naturalpop;1;23;19;224;1;68;0,63;;;;78
75;S;2;control;S-control;naturalpop;1;15;15;126;1;35;0,06;;;;19
76;NS;2;control;NS-control;naturalpop;1;32;17;273;1;66;0,7;;;;137
77;S;2;fertilized;S-fertilized;naturalpop;1;17;17;156;1;72;0,14;;;;110
78;NS;2;control;NS-control;naturalpop;1;15;12;106;1;11;0,09;;;;28
79;NS;2;control;NS-control;naturalpop;1;21;11;129;1;72;0,33;;;;96
80;NS;2;fertilized;NS-fertilized;naturalpop;1;11;13;89;0;0;0;;;;0
